Cluster, Prot. count, NCPR, FCR, f_ali, f_aro, f_neg, f_pos, f_pol, f_pro
1, 2.0, -0.0142, 0.2269, 0.2359, 0.0826, 0.1205, 0.1064, 0.3899, 0.0602
2, 19.0, 0.0022, 0.2227, 0.26, 0.0417, 0.1103, 0.1125, 0.3914, 0.0796
3, 6.0, 0.0874, 0.1906, 0.2687, 0.0471, 0.0515, 0.139, 0.3912, 0.0841
4, 7.0, -0.0515, 0.2181, 0.3042, 0.025, 0.1348, 0.0833, 0.3787, 0.0653
5, 14.0, 0.0141, 0.2227, 0.272, 0.0253, 0.1043, 0.1184, 0.3638, 0.1144
6, 20.0, 0.0371, 0.2088, 0.285, 0.043, 0.0858, 0.1229, 0.3829, 0.0775
7, 9.0, 0.0711, 0.221, 0.2355, 0.0439, 0.075, 0.1461, 0.4285, 0.0695
8, 1.0, -0.0342, 0.2735, 0.2906, 0.0171, 0.1538, 0.1197, 0.3162, 0.1026
